yr,gen,block,plot,row,col,fy
H01,MK10,B5,MK10B5,5,7,4.29110303
H01,MK11,B5,MK11B5,5,20,0
H01,MK12,B5,MK12B5,5,13,5.496876543
H01,MK13,B5,MK13B5,5,14,4.270514389
H01,MK14,B5,MK14B5,5,22,2.838436966
H01,MK15,B5,MK15B5,5,18,2.867382912
H01,MK16,B5,MK16B5,5,19,0
H01,MK17,B5,MK17B5,5,11,2.559674725
H01,MK18,B5,MK18B5,5,17,0.861577425
H01,MK19,B5,MK19B5,5,2,2.317987383
H01,MK20,B5,MK20B5,5,5,5.523565657
H01,MK21,B5,MK21B5,5,3,3.955172619
H01,MK22,B5,MK22B5,5,4,0.744547619
H01,MK23,B5,MK23B5,5,1,9.399666667
H01,MK24,B5,MK24B5,5,21,1.27506221
H01,MK25,B5,MK25B5,5,16,2.711546358
H02,MK01,B1,MK01B1,1,13,4.024821429
H02,MK02,B1,MK02B1,1,1,6.478627611
H02,MK03,B1,MK03B1,1,18,7.064450397
H02,MK04,B1,MK04B1,1,9,7.952443309
H02,MK05,B1,MK05B1,1,10,13.60298864
H02,MK06,B1,MK06B1,1,16,12.85808518
H02,MK07,B1,MK07B1,1,22,8.019761942
H02,MK08,B1,MK08B1,1,20,5.893933042
H02,MK09,B1,MK09B1,1,23,6.707383098
H02,MK10,B1,MK10B1,1,4,3.575919192
H02,MK11,B1,MK11B1,1,3,6.922101961
H02,MK12,B1,MK12B1,1,19,3.84781358
H02,MK13,B1,MK13B1,1,24,9.608657374
H02,MK14,B1,MK14B1,1,14,7.096092415
H02,MK15,B1,MK15B1,1,7,8.192522607
H02,MK16,B1,MK16B1,1,6,3.570713933
H02,MK17,B1,MK17B1,1,2,4.266124542
H02,MK18,B1,MK18B1,1,25,6.461830688
H02,MK19,B1,MK19B1,1,21,12.36259938
H02,MK20,B1,MK20B1,1,5,6.312646464
H02,MK21,B1,MK21B1,1,8,1.757854497
H02,MK22,B1,MK22B1,1,17,2.978190477
H02,MK23,B1,MK23B1,1,15,6.266444445
H02,MK24,B1,MK24B1,1,11,16.57580873
H02,MK25,B1,MK25B1,1,12,7.230790288
H02,MK01,B2,MK01B2,2,20,2.683214286
H02,MK02,B2,MK02B2,2,2,8.20626164
H02,MK03,B2,MK03B2,2,3,12.71601071
H02,MK04,B2,MK04B2,2,11,8.420234091
H02,MK05,B2,MK05B2,2,15,10.58010227
H02,MK06,B2,MK06B2,2,18,8.265911905
H02,MK07,B2,MK07B2,2,22,4.410869068
H02,MK08,B2,MK08B2,2,19,9.10880561
H02,MK09,B2,MK09B2,2,13,4.024429859
H02,MK10,B2,MK10B2,2,9,6.794246464
H02,MK11,B2,MK11B2,2,10,2.563741467
H02,MK12,B2,MK12B2,2,12,8.245314815
H02,MK13,B2,MK13B2,2,7,6.405771582
H02,MK14,B2,MK14B2,2,5,6.623019587
H02,MK15,B2,MK15B2,2,17,6.963644216
H02,MK16,B2,MK16B2,2,14,4.463392416
H02,MK17,B2,MK17B2,2,16,0
H02,MK18,B2,MK18B2,2,25,9.046562963
H02,MK19,B2,MK19B2,2,21,7.340293379
H02,MK20,B2,MK20B2,2,1,11.83621212
H02,MK21,B2,MK21B2,2,4,12.52471329
H02,MK22,B2,MK22B2,2,23,2.233642857
H02,MK23,B2,MK23B2,2,6,8.056857143
H02,MK24,B2,MK24B2,2,8,16.150788
H02,MK25,B2,MK25B2,2,24,4.067319537
H02,MK01,B3,MK01B3,3,10,1.788809523
H02,MK02,B3,MK02B3,3,16,6.478627611
H02,MK03,B3,MK03B3,3,11,11.77408399
H02,MK04,B3,MK04B3,3,20,8.420234091
H02,MK05,B3,MK05B3,3,3,5.038143939
H02,MK06,B3,MK06B3,3,14,7.347477248
H02,MK07,B3,MK07B3,3,13,4.410869068
H02,MK08,B3,MK08B3,3,2,4.822308852
H02,MK09,B3,MK09B3,3,1,0.894317747
H02,MK10,B3,MK10B3,3,6,2.860735354
H02,MK11,B3,MK11B3,3,17,0
H02,MK12,B3,MK12B3,3,9,8.245314815
H02,MK13,B3,MK13B3,3,19,2.669071493
H02,MK14,B3,MK14B3,3,24,7.805701656
H02,MK15,B3,MK15B3,3,4,11.05990552
H02,MK16,B3,MK16B3,3,21,0.892678484
H02,MK17,B3,MK17B3,3,18,1.919756044
H02,MK18,B3,MK18B3,3,12,5.600253262
H02,MK19,B3,MK19B3,3,7,13.9079243
H02,MK20,B3,MK20B3,3,5,10.25805051
H02,MK21,B3,MK21B3,3,15,11.42605423
H02,MK22,B3,MK22B3,3,25,0.558410714
H02,MK23,B3,MK23B3,3,23,5.818841269
H02,MK24,B3,MK24B3,3,22,11.90058063
H02,MK25,B3,MK25B3,3,8,6.326941502
H02,MK01,B4,MK01B4,4,7,8.720446429
H02,MK02,B4,MK02B4,4,3,13.38916372
H02,MK03,B4,MK03B4,4,2,8.477340476
H02,MK04,B4,MK04B4,4,23,9.823606439
H02,MK05,B4,MK05B4,4,15,10.58010227
H02,MK06,B4,MK06B4,4,24,5.969825264
H02,MK07,B4,MK07B4,4,16,6.415809553
H02,MK08,B4,MK08B4,4,4,3.750684662
H02,MK09,B4,MK09B4,4,20,4.471588732
H02,MK10,B4,MK10B4,4,21,6.436654545
H02,MK11,B4,MK11B4,4,9,1.53824488
H02,MK12,B4,MK12B4,4,10,9.344690124
H02,MK13,B4,MK13B4,4,11,5.338142985
H02,MK14,B4,MK14B4,4,1,10.40760221
H02,MK15,B4,MK15B4,4,18,5.734765825
H02,MK16,B4,MK16B4,4,6,3.570713933
H02,MK17,B4,MK17B4,4,14,4.266124542
H02,MK18,B4,MK18B4,4,19,4.523281481
H02,MK19,B4,MK19B4,4,8,13.52159307
H02,MK20,B4,MK20B4,4,12,13.80891415
H02,MK21,B4,MK21B4,4,5,15.16149504
H02,MK22,B4,MK22B4,4,25,0.372273809
H02,MK23,B4,MK23B4,4,13,6.266444445
H02,MK24,B4,MK24B4,4,17,6.800331788
H02,MK25,B4,MK25B4,4,22,13.55773179
H02,MK01,B5,MK01B5,5,9,7.602440477
H02,MK02,B5,MK02B5,5,10,12.30939246
H02,MK03,B5,MK03B5,5,8,13.65793743
H02,MK04,B5,MK04B5,5,6,4.677907828
H02,MK05,B5,MK05B5,5,24,4.030515152
H02,MK06,B5,MK06B5,5,15,7.347477248
H02,MK07,B5,MK07B5,5,12,5.61383336
H02,MK08,B5,MK08B5,5,25,13.93111446
H02,MK09,B5,MK09B5,5,23,5.365906479
H02,MK10,B5,MK10B5,5,7,7.509430303
H02,MK11,B5,MK11B5,5,20,7.691224401
H02,MK12,B5,MK12B5,5,13,14.29187901
H02,MK13,B5,MK13B5,5,14,2.135257194
H02,MK14,B5,MK14B5,5,22,13.719112
H02,MK15,B5,MK15B5,5,18,4.915513564
H02,MK16,B5,MK16B5,5,19,0
H02,MK17,B5,MK17B5,5,11,2.133062271
H02,MK18,B5,MK18B5,5,17,3.015520987
H02,MK19,B5,MK19B5,5,2,9.658280762
H02,MK20,B5,MK20B5,5,5,4.339944445
H02,MK21,B5,MK21B5,5,3,6.591954365
H02,MK22,B5,MK22B5,5,4,0.744547619
H02,MK23,B5,MK23B5,5,1,5.818841269
H02,MK24,B5,MK24B5,5,21,5.100248841
H02,MK25,B5,MK25B5,5,16,3.615395144
H03,MK01,B1,MK01B1,1,13,6.037232143
H03,MK02,B1,MK02B1,1,1,14.25298074
H03,MK03,B1,MK03B1,1,18,6.593487038
H03,MK04,B1,MK04B1,1,9,18.24384053
H03,MK05,B1,MK05B1,1,10,12.09154545
H03,MK06,B1,MK06B1,1,16,12.85808518
H03,MK07,B1,MK07B1,1,22,10.82667862
H03,MK08,B1,MK08B1,1,20,17.14598704
H03,MK09,B1,MK09B1,1,23,3.577270986
H03,MK10,B1,MK10B1,1,4,2.860735354
H03,MK11,B1,MK11B1,1,3,2.30736732
H03,MK12,B1,MK12B1,1,19,7.695627161
H03,MK13,B1,MK13B1,1,24,9.074843076
H03,MK14,B1,MK14B1,1,14,15.61140331
H03,MK15,B1,MK15B1,1,7,5.734765825
H03,MK16,B1,MK16B1,1,6,4.909731658
H03,MK17,B1,MK17B1,1,2,10.2386989
H03,MK18,B1,MK18B1,1,25,3.015520987
H03,MK19,B1,MK19B1,1,21,13.52159307
H03,MK20,B1,MK20B1,1,5,12.23075252
H03,MK21,B1,MK21B1,1,8,6.152490741
H03,MK22,B1,MK22B1,1,17,13.40185714
H03,MK23,B1,MK23B1,1,15,17.00892064
H03,MK24,B1,MK24B1,1,11,21.25103684
H03,MK25,B1,MK25B1,1,12,9.490412253
H03,MK01,B2,MK01B2,2,20,2.683214286
H03,MK02,B2,MK02B2,2,2,6.910536118
H03,MK03,B2,MK03B2,2,3,7.535413756
H03,MK04,B2,MK04B2,2,11,14.50151426
H03,MK05,B2,MK05B2,2,15,9.068659091
H03,MK06,B2,MK06B2,2,18,18.82791045
H03,MK07,B2,MK07B2,2,22,4.811857165
H03,MK08,B2,MK08B2,2,19,10.1804298
H03,MK09,B2,MK09B2,2,13,1.34147662
H03,MK10,B2,MK10B2,2,9,7.151838384
H03,MK11,B2,MK11B2,2,10,3.589238053
H03,MK12,B2,MK12B2,2,12,3.298125926
H03,MK13,B2,MK13B2,2,7,4.003607239
H03,MK14,B2,MK14B2,2,5,17.50369462
H03,MK15,B2,MK15B2,2,17,11.05990552
H03,MK16,B2,MK16B2,2,14,8.034106349
H03,MK17,B2,MK17B2,2,16,6.399186813
H03,MK18,B2,MK18B2,2,25,5.16946455
H03,MK19,B2,MK19B2,2,21,10.43094322
H03,MK20,B2,MK20B2,2,1,31.16869192
